"2020
KShs’m","2019
KShs’m","2020
KShs’m"
"260,463.8","248,101.8
2,181.3","259,078.7"
"2,091.9",,"2,326.8"
"262,555.7","250,283.1
(72,398.8)
9.6
(53,590.2)","261,405.5"
"(75,284.9)",,"(75,468.7)"
"(1,669.6)",,"(1,418.7)"
"(47,559.7)",,"(47,023.1)"
"138,041.5","124,303.7
(33,660.4)
(301.0)
(1,370.3)
–","137,495.0"
"(31,964.8)",,"(31,925.3)"
(301.0),,(301.0)
"(1,359.1)",,"(1,358.0)"
"(2,922.8)",,"(2,922.8)"
"101,493.8","88,972.0
2,760.2
(519.6)
5.2
–","100,987.9"
"3,518.8",,"3,494.5"
"(2,596.6)",,"(2,585.5)"
60.9,,60.9
"3,296.1",,"3,296.1"
"105,773.0","91,217.8
(28,727.3)
62,490.5","105,253.90"
"(32,115.1)",,"(31,969.7)"
"73,657.9",,"73,284.2"
,"–
62,490.5",
–,,–
"73,657.9",,"73,284.2"
1.84,1.56,1.83
