Condensed statement of financial position as at:,Group (KShs Mn),Column,Company (KShs Mn),Column
,30-Sep-24,31-Mar-24,30-Sep-24,31-Mar-24
,"408,798.3","558,622.4","349,434.6",
,,"4,526.0
48,119.0
22,868.2
1,563.4
5,202.0
263.3
-",,
,"2,192.4",,"1,582.6",
,"37,047.7",,"29,454.0",
,"29,101.0",,"19,556.8",
,400.0,,-,
,"5,323.0",,"5,049.6",
,262.0,,-,
,-,,-,
,"74,326.1","82,541.9","55,642.9",
,"483,124.4","641,164.3","405,077.5",
,,"2,003.3
2,200.0
134,314.0
61,789.3
26,042.5",,
,"2,003.3",,"2,003.3",
,"2,200.0",,"2,200.0",
,"163,757.3",,"219,701.0",
,"(12,625.4)",,-,
,-,,-,
,"155,335.2","226,349.1
109,398.8","223,904.3",
,"34,337.7",,-,
,"189,672.9","335,747.9","223,904.3",
,"135,070.4","137,594.3","71,235.4",
,,"193.1
6,649.2
45,053.6
6,411.0
94,919.5
2,938.9
263.3
11,393.5",,
,"1,626.7",,"1,806.3",
,"1,075.3",,"1,075.3",
,"38,772.8",,"36,311.0",
,"5,723.7",,"5,139.6",
,"96,743.4",,"51,979.0",
,"2,938.9",,"2,938.9",
,262.0,,-,
,"11,238.3",,"10,687.7",
,"158,381.1","167,822.1","109,937.8",
,"293,451.5","305,416.4","181,173.2",
,"483,124.4","641,164.3","405,077.5",
