Column,"2023
KShs’m","2022
KShs’m"
"Investment in associates
Circles Gas Limited
The East African Marines Systems Limited (TEAMS)",,
,–,–
,135.6,123.1
Total investment in associates,135.6,123.1
"Investment in joint ventures
M-PESA Africa Limited",,
,"3,808.3","3,859.0"
Total investment in joint ventures,"3,808.3","3,859.0"
Total investment in associates and joint ventures,"3,943.9","3,982.1"
"The movement in investment in associates and joint ventures is as follows:
At start of year The East African Marines Systems Limited (TEAMS)
Share of profit from TEAMS
At start of year Circle Gas Limited
Share of loss from Circle Gas Limited
At start of year M-PESA Africa Limited
Share of loss from M-PESA Africa Limited",,
,123.1,118.1
,12.5,5.0
,–,284.8
,–,(284.8)
,"3,859.0","4,055.2"
,(50.7),(196.2)
At end of year,"3,943.9","3,982.1"
"Share of profit from The East African Marines Systems Limited (TEAMS)
Share of loss from Circle Gas Limited",12.5,5.0
,–,(284.8)
Total share of profit/(loss) of associates,12.5,(279.8)
Share of loss from M-PESA Africa Limited,(50.7),(196.2)
Total share of loss of joint venture,(50.7),(196.2)
