"55,452,777",Column,"1,002,204",Column,"65,815,490"
"(20,412,506)",,"(618,940)",,"(23,083,837)"
,"5,469,446",,"1,838,672",
"35,040,271",,"383,264",,"42,731,653"
,"5,469,446
15,936,572
(15,097,745)
(205)
-",,"1,838,672
633,484
702,978
(7,695)
(901,864)",
"35,040,271",,"383,264",,"42,731,653"
"6,333,637",,"110,467",,"23,014,160"
"14,302,667",,"92,100",,-
(37),,"(4,710)",,"(12,647)"
"(8,262,868)",,"(87,945)",,"(9,252,677)"
,"6,308,068",,"2,265,575",
"47,413,670",,"493,176",,"56,480,489"
,"6,308,068
-",,"5,219,830
(2,954,255)",
"76,089,044",,"1,200,061",,"88,817,003"
"(28,675,374)",,"(706,885)",,"(32,336,514)"
,"6,308,068",,"2,265,575",
"47,413,670",,"493,176",,"56,480,489"
