ATTRIBUTABLE TO THE EQUITY HOLDERS OF THE PARENT,Column,Column,Column,Column,Column,Column,Column
"Non-
Share Share Retained Translation Proposed controlling Total
capital premium earnings reserve dividend Total interests equity
KShs’m KShs’m KShs’m KShs’m KShs’m KShs’m KShs’m KShs’m",,,,,,,
"2,003.3 2,200.0 82,785.2 – 56,091.6 143,080.1 – 143,080.1
– – 68,676.2 – – 68,676.2 – 68,676.2",,,,,,,
"– – – – (56,091.6) (56,091.6) – (56,091.6)
– – (18,029.4) – – (18,029.4) – (18,029.4)
– – (36,860.2) – 36,860.2 – – –",,,,,,,
"– – (54,889.6) – (19,231.4) (74,121.0) – (74,121.0)",,,,,,,
"2,003.3 2,200.0 96,571.8 – 36,860.2 137,635.3 – 137,635.3",,,,,,,
"2,003.3","2,200.0","96,571.8",–,"36,860.2","137,635.3",–,"137,635.3"
–,–,"69,648.1",–,–,"69,648.1","(2,152.0)","67,496.1"
–,–,–,"(5,312.7)",–,"(5,312.7)","(4,223.6)","(9,536.3)"
–,–,"69,648.1","(5,312.7)",–,"64,335.4","(6,375.6)","57,959.8"
–,–,–,–,"(36,860.2)","(36,860.2)",–,"(36,860.2)"
–,–,"(25,641.9)",–,–,"(25,641.9)",–,"(25,641.9)"
–,–,–,–,–,–,"46,607.9","46,607.9"
–,–,"(30,049.1)",–,"30,049.1",–,–,–
–,–,"(55,691.0)",–,"(6,811.1)","(62,502.1)","46,607.9","(15,894.2)"
"2,003.3","2,200.0","110,528.9","(5,312.7)","30,049.1","139,468.6","40,232.3","179,700.9"
