"41,271,148",Column,"902,563",Column,"49,481,444"
"(14,655,215)",,"(550,771)",,"(16,690,161)"
,"4,995,302",,"828,256",
"26,615,933",,"351,792",,"32,791,283"
,"4,995,302
4,012,011
(3,537,867)
-
-",,"828,256
1,171,999
408,870
(2,237)
(568,216)",
"26,615,933",,"351,792",,"32,791,283"
"11,068,455",,"85,510",,"16,337,975"
"3,114,866",,"14,131",,-
"(1,692)",,-,,"(3,929)"
"(5,757,291)",,"(68,169)",,"(6,393,676)"
,"5,469,446",,"1,838,672",
"35,040,271",,"383,264",,"42,731,653"
,"5,469,446
-",,"3,891,063
(2,052,391)",
"55,452,777",,"1,002,204",,"65,815,490"
"(20,412,506)",,"(618,940)",,"(23,083,837)"
,"5,469,446",,"1,838,672",
"35,040,271",,"383,264",,"42,731,653"
