Specified tasks,Implied tasks
"Delivering superior customer
experience","• One-App development/ support digital-first strategy
• Launch NLP enabled IVR (voice) to customers and Zuri (chat)
• Gen AI platform migration"
"Digitising our commercial
operations touchpoints","• Accelerate market rollout for the new Jiandikishe app and grow usage
• Scale franchise SIM-swap journey on Jiandikishe app
• New commercial terms implementation and PINless airtime sales on dealer portal
• Franchise POS rollout"
"Delivering a seamless omni-
channel experience for frontline
teams",• Stabilisation of the SVC/Unified front-end to grow activity and user NPS
"Building a fit-for-future Agile
organisation",• Establish a Channels IT system
