"2016
Shs’000",Column,"2016
Shs’000",Column
-,,-,
"(8,501,056)",,"(8,166,293)",
"(8,501,056)","(3,390,329)","(8,166,293)","(3,356,420)"
"116,738,947","104,276,531","117,552,810","105,429,892"
"116,738,947","104,276,531","117,552,810","105,429,892"
-,-,-,-
