GROUP,Column,Column,Column
"2022 2021 2022 2021
KShs’m KShs’m KShs’m KShs’m",,,
(272.3),"(323.2)
(32.7)
(604.4)
(362.1)
(18,188.1)
(55.4)
(4,083.3)
(1,197.9)
(13,163.4)
(457.6)
(2,572.4)
(481.7)
(610.7)
(3,901.9)",(258.8),"(321.9)
(32.7)
(604.4)
(362.1)
(17,957.9)
(49.8)
(4,569.9)
(1,184.2)
(13,072.4)
(432.0)
(2,546.2)
(472.3)
(648.9)
(2,913.9)"
(107.4),,(64.6),
(760.1),,(752.0),
(325.7),,(321.6),
"(22,554.1)",,"(20,118.2)",
(62.2),,(51.2),
"(4,380.5)",,"(4,469.5)",
"(3,036.9)",,"(1,678.9)",
"(14,087.7)",,"(14,050.7)",
(803.5),,(457.6),
"(2,670.6)",,"(2,443.0)",
(482.0),,(440.2),
(434.4),,(392.3),
"(5,209.6)",,"(4,046.9)",
"(55,187.0)","(46,034.8)","(49,545.5)","(45,168.6)"
