Column,"TEAMS
KShs’m","SEACOM
KShs’m","KPLC
KShs’m","ETISALAT
KShs’m","TATA
KShs’m","Total
KShs’m"
"Year ended 31 March 2023
Opening net book amount
Amortisation charge",,,,,,
,"1,622.5",613.2,328.6,–,–,"2,564.3"
,(76.7),(41.9),(162.7),–,–,(281.3)
Closing net book amount,"1,545.8",571.3,165.9,–,–,"2,283.0"
"At 31 March 2023
Cost
Accumulated amortisation",,,,,,
,"3,253.0","1,534.9",838.3,–,–,"5,626.2"
,"(1,707.2)",(963.6),(672.4),–,–,"(3,343.2)"
Net book amount,"1,545.8",571.3,165.9,–,–,"2,283.0"
"Year ended 31 March 2022
Opening net book amount
Amortisation charge","1,785.2
(162.7)","689.9
(76.7)","370.5
(41.9)","–
–","–
–","2,845.6
(281.3)"
Closing net book amount,"1,622.5",613.2,328.6,–,–,"2,564.3"
"At 31 March 2022
Cost
Accumulated amortisation","3,253.0
(1,630.5)","1,534.9
(921.7)","838.3
(509.7)","111.3
(111.3)","183.9
(183.9)","5,921.4
(3,357.1)"
Net book amount,"1,622.5",613.2,328.6,–,–,"2,564.3"
