"Kenya
KShs’m","Ethiopia
KShs’m","Total
segments
KShs’m","Intersegment
KShs’m","Consolidated
KShs’m"
"338,571.8","7,352.3","345,924.1",(30.7),"345,893.4"
"3,526.2",27.6,"3,553.8",–,"3,553.8"
"342,098.0","7,379.9","349,477.9",(30.7),"349,447.2"
"(89,824.9)","(7,252.7)","(97,077.6)",30.7,"(97,046.9)"
"(5,775.7)",(42.3),"(5,818.0)",10.6,"(5,807.4)"
"(59,515.8)","(23,784.5)","(83,300.3)",–,"(83,300.3)"
"186,981.6","(23,699.6)","163,282.0",10.6,"163,292.6"
"(39,430.9)","(15,731.4)","(55,162.3)",–,"(55,162.3)"
(281.3),–,(281.3),–,(281.3)
"(2,836.4)","(14,968.1)","(17,804.5)",–,"(17,804.5)"
"(4,503.2)","(5,196.5)","(9,699.7)",–,"(9,699.7)"
"139,929.8","(59,595.6)","80,334.2",10.6,"80,344.8"
"5,050.5",409.1,"5,459.6",–,"5,459.6"
"(16,832.7)","(5,268.4)","(22,101.1)",–,"(22,101.1)"
(2.9),–,(2.9),–,(2.9)
"(1,376.2)",–,"(1,376.2)",–,"(1,376.2)"
–,"22,363.2","22,363.2",–,"22,363.2"
"126,768.5","(42,091.7)","84,676.8",10.6,"84,687.4"
"(42,029.0)",–,"(42,029.0)",–,"(42,029.0)"
"84,739.5","(42,091.7)","42,647.8",10.6,"42,658.4"
