Reward,Purpose and Link to Strategy,Mechanics of Reward,"Performance
Metrics"
Basic Salary,"To attract and retain high calibre
individuals to deliver the Company’s
strategic plans, by offering market
competitive remuneration, to
reflect an individual’s skills and
experience.","· P aid in 12 equal monthly instalments during
the year and is pensionable
· R eviewed annually with salary changes
effective from April, depending on
performance","Individual
and business
performance"
Pension,"To provide competitive
post-retirement benefit
arrangements so as to attract and
retain high calibre talent, to drive
delivery of Group’s strategy.",None,None
Other benefits,"To aid retention and to facilitate
the attraction and retention of
high calibre talent to deliver the
Company’s strategic Plans. To
remain competitive within the
market place.","The range of benefits include:
• Medical insurance
• Personal life and accident insurance
• Security detail (24 hours)
• Education allowance
• Car allowance
• Driver and domestic allowance",
Michael Joseph,√,√,√
