Income Statement - Shs mn,FY14,FY15,FY16,FY17,FY18
,,,,,"95,639"
,,,,,"62,907"
,,,,,"36,357"
,,,,,"6,673"
,,,,,"17,721"
,,,,,"5,237"
,,,,,"224,535"
,,,,,"8,980"
,,,,,202
,,,,,"233,717"
,,,,,510
,,,,,"(70,555)"
,,,,,(202)
,,,,,"163,470"
,,,,,"(50,636)"
,,,,,"112,834"
,,,,,"(33,568)"
,,,,,"79,266"
,,,,,659
,,,,,(26)
,,,,,10
,,,,,-
,,,,,-
,,,,,"79,909"
,,,,,"(24,620)"
,,,,,"55,289"
,,,,,1.38
,,,,,"55,387"
,,,,,"44,071"
,,,,,1.10
,,,,,-
,,,,,-
