"2022 2021
KShs’m KShs’m",Column
"4,269.8","3,180.7
(2,585.5)"
"(2,918.2)",
"1,351.6",595.2
"(1,477.4)","(1,115.7)
(55.6)
(92.0)"
(125.1),
(141.6),
(392.5),(668.1)
(196.2),"(334.1)
20.0"
–,
(196.2),(314.1)
