"Salary
KShs’m","Directors’ fees
KShs’m","Bonus
KShs’m","Non-cash
Benefits
KShs’m","EPSAP
KShs’m","Totals
KShs’m"
98.7,–,116.7,33.5,45.3,294.2
63.3,–,43.2,19.2,6.8,132.5
162.0,–,159.9,52.7,52.1,426.7
–,23.7,–,0.8,–,24.5
–,5.2,–,0.2,–,5.4
–,7.5,–,–,–,7.5
–,3.2,–,–,–,3.2
–,1.6,–,–,–,1.6
–,7.3,–,0.3,–,7.6
–,7.4,–,0.3,–,7.7
–,5.2,–,–,–,5.2
–,5.8,–,–,–,5.8
–,3.2,–,0.3,–,3.5
–,5.2,–,0.4,–,5.6
–,3.0,–,–,–,3.0
–,4.1,–,–,–,4.1
–,82.4,–,2.3,–,84.7
162.0,82.4,159.9,55.0,52.1,511.4
