Column,"Kenya
KShs'm","Ethiopia
KShs'm","Total
segments
KShs'm","Eliminations
KShs'm","Consolidated
KShs'm"
"Revenue from contracts with customers
Revenue from other sources","305,954.4","1,195.6","307,150.0",(7.9),"307,142.1"
,"3,167.2",595.5,"3,762.7",–,"3,762.7"
"Total revenue
Direct costs
Expected credit losses on financial assets
Other expenses","309,121.6","1,791.1","310,912.7",(7.9),"310,904.8"
,"(90,441.6)","(1,798.4)","(92,240.0)",7.9,"(92,232.1)"
,"(4,720.2)",(5.1),"(4,725.3)",–,"(4,725.3)"
,"(53,608.0)","(20,477.0)","(74,085.0)",–,"(74,085.0)"
"Earnings before interest, taxes, depreciation and amortisation
(EBITDA)","160,351.8","(20,489.4)","139,862.4",–,"139,862.4"
"Depreciation – property and equipment
Amortisation – indefeasible rights of use (IRUs)
Amortisation – intangible assets
Amortisation – right-of-use assets (ROU)","(37,067.7)","(2,686.8)","(39,754.5)",–,"(39,754.5)"
,(281.3),–,(281.3),–,(281.3)
,"(2,329.6)","(6,088.3)","(8,417.9)",–,"(8,417.9)"
,"(4,419.0)","(1,992.3)","(6,411.3)",–,"(6,411.3)"
Operating profit/(loss),"116,254.2","(31,256.8)","84,997.4",–,"84,997.4"
"Finance income
Finance costs
Fair value adjustment to investment properties
Share of profit of associates and joint ventures
Share of loss of joint venture
Hyperinflationary monetary gain","3,862.5",212.7,"4,075.2",–,"4,075.2"
,"(9,805.2)","(1,478.0)","(11,283.2)",120.9,"(11,162.3)"
,90.0,–,90.0,–,90.0
,12.5,–,12.5,–,12.5
,(50.7),–,(50.7),–,(50.7)
,–,"10,383.1","10,383.1",–,"10,383.1"
Profit/(loss) before income tax,"110,363.3","(22,139.0)","88,224.3",120.9,"88,345.2"
Income tax expense,"(35,862.4)",–,"(35,862.4)",–,"(35,862.4)"
Profit/(loss) for the year,"74,500.9","(22,139.0)","52,361.9",120.9,"52,482.8"
