Column,Column,Column,COMPANY,Column
,2023,2022,2023,2022
"Permanent employees
Fixed-term contract employees","6,271","4,631","5,362","4,631"
,392,"1,221",345,"1,221"
,"6,663","5,852","5,707","5,852"
