"2015
Shs’000","2014
Shs’000
108,042
264,318"
"519,561",
"28,977",
"548,538","372,360"
"(173,410)","(342,572)"
"(173,410)","(342,572)"
"80,565","35,086"
"(429,676)",-
"26,017","64,874"
,"382,270
(906)
(339,158)"
"220,740",
(148),
"(219,987)",
605,"42,206
(12,662)"
-,
605,"29,544"
