Country,"Prepay Retail
Price per Minute",MTR
Burkina Faso,$0.16,$0.10
Cote D'ivoire,$0.17,$0.06
Malawi,$0.17,$0.08
Botswana,$0.18,$0.04
"Central African
Republic",$0.19,
Cameroon,$0.19,$0.16
Mali,$0.21,
Togo,$0.23,$0.11
Chad,$0.25,
Madagascar,$0.30,
Gabon,$0.32,$0.06
Cape Verde,$0.34,
Lesotho,$0.42,$0.06
Liberia,$1.71,$0.15
